,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
44,Dandelions,Ruth B.,1.0,2017.0,4.0,28.0,3423.0,21.0,1116995633.0,41.0,100.0,59.0,1.0,32.0,117.0,C#,Major,61.0,45.0,69.0,2.0,0.0,9.0,3.0
45,Bones,Imagine Dragons,1.0,2021.0,3.0,11.0,4198.0,44.0,838079900.0,98.0,108.0,327.0,17.0,153.0,114.0,F,Minor,77.0,65.0,72.0,2.0,0.0,7.0,5.0
46,Tak Segampang Itu,Anggi Marito,1.0,2022.0,12.0,2.0,213.0,6.0,179659294.0,7.0,6.0,0.0,0.0,48.0,130.0,F,Major,51.0,18.0,44.0,76.0,0.0,11.0,3.0
47,Mine (Taylor's Version),Taylor Swift,1.0,2023.0,7.0,7.0,99.0,15.0,36912123.0,21.0,52.0,6.0,1.0,0.0,121.0,G,Major,65.0,49.0,78.0,0.0,0.0,17.0,4.0
48,No Role Modelz,J. Cole,1.0,2014.0,12.0,9.0,21164.0,36.0,1791000570.0,80.0,65.0,476.0,0.0,14.0,100.0,A#,Minor,70.0,47.0,52.0,30.0,0.0,6.0,33.0
49,Tattoo,Loreen,1.0,2023.0,2.0,25.0,2988.0,59.0,201660859.0,74.0,102.0,145.0,18.0,925.0,150.0,D#,Minor,55.0,30.0,78.0,24.0,0.0,12.0,8.0
50,august,Taylor Swift,1.0,2020.0,7.0,24.0,7324.0,22.0,607123776.0,25.0,81.0,61.0,1.0,44.0,90.0,F,Major,51.0,42.0,61.0,53.0,0.0,9.0,3.0
51,Nonsense,Sabrina Carpenter,1.0,2022.0,7.0,15.0,2346.0,27.0,342897938.0,69.0,12.0,38.0,8.0,64.0,139.0,G#,Major,74.0,68.0,68.0,3.0,0.0,26.0,4.0
52,Feliz CumpleaÃ¯Â¿Â½Ã¯Â¿Â½os Fe,Feid,1.0,2022.0,8.0,19.0,3430.0,38.0,601863821.0,45.0,69.0,52.0,4.0,3.0,95.0,F,Major,87.0,57.0,55.0,10.0,0.0,29.0,7.0
53,Queencard,(G)I-DLE,1.0,2023.0,5.0,15.0,451.0,33.0,96273746.0,10.0,126.0,7.0,0.0,148.0,130.0,E,Minor,82.0,69.0,83.0,3.0,0.0,27.0,5.0
54,OMG,NewJeans,1.0,2023.0,1.0,2.0,1783.0,27.0,430977451.0,26.0,124.0,15.0,1.0,22.0,127.0,A,Minor,80.0,74.0,77.0,36.0,0.0,11.0,4.0
55,Radio,Lana Del Rey,1.0,2011.0,1.0,1.0,9389.0,46.0,284819874.0,24.0,122.0,282.0,3.0,368.0,150.0,D,Major,42.0,20.0,86.0,21.0,0.0,9.0,9.0
56,Romantic Homicide,d4vd,1.0,2022.0,7.0,20.0,2335.0,23.0,681583126.0,82.0,55.0,50.0,0.0,9.0,132.0,F#,Major,56.0,20.0,55.0,45.0,1.0,32.0,3.0
57,Those Eyes,New West,1.0,2019.0,5.0,10.0,1507.0,14.0,411747614.0,24.0,71.0,44.0,1.0,195.0,120.0,E,Major,60.0,24.0,35.0,73.0,0.0,31.0,3.0
58,El Gordo Trae El Mando,Chino Pacas,1.0,2023.0,1.0,27.0,539.0,21.0,255932395.0,7.0,71.0,4.0,2.0,13.0,140.0,G,Minor,74.0,96.0,80.0,18.0,0.0,5.0,5.0
59,Mi Bello Angel,Natanael Cano,1.0,2023.0,6.0,30.0,86.0,8.0,31873544.0,7.0,76.0,3.0,1.0,93.0,128.0,A,Minor,81.0,90.0,77.0,1.0,0.0,9.0,5.0
60,Locked Out Of Heaven,Bruno Mars,1.0,2012.0,12.0,5.0,1622.0,9.0,1481349984.0,0.0,0.0,356.0,0.0,0.0,144.0,F,Major,73.0,87.0,70.0,6.0,0.0,28.0,5.0
61,Enchanted,Taylor Swift,1.0,2010.0,1.0,1.0,4564.0,16.0,621660989.0,24.0,101.0,113.0,0.0,40.0,164.0,G#,Major,45.0,24.0,62.0,8.0,0.0,16.0,3.0
62,Sure Thing,Miguel,1.0,2010.0,5.0,25.0,13801.0,19.0,950906471.0,137.0,125.0,435.0,6.0,285.0,81.0,B,Minor,68.0,51.0,60.0,3.0,0.0,19.0,10.0
63,Every Breath You Take - Remastered 2003,The Police,1.0,1983.0,1.0,6.0,22439.0,19.0,1593270737.0,211.0,74.0,929.0,0.0,129.0,117.0,C#,Major,82.0,73.0,45.0,54.0,0.0,7.0,3.0
64,The Night We Met,Lord Huron,1.0,2015.0,2.0,2.0,18515.0,35.0,1410088830.0,70.0,82.0,939.0,1.0,162.0,174.0,D,Major,45.0,10.0,37.0,97.0,25.0,64.0,4.0
65,Let Me Down Slowly,Alec Benjamin,1.0,2018.0,5.0,25.0,5897.0,19.0,1374581173.0,0.0,0.0,885.0,0.0,0.0,150.0,C#,Minor,65.0,51.0,55.0,73.0,0.0,14.0,3.0
66,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½,YOASOBI,1.0,2023.0,4.0,12.0,356.0,16.0,143573775.0,35.0,102.0,8.0,1.0,117.0,166.0,C#,Major,57.0,84.0,94.0,11.0,0.0,37.0,9.0
67,Reminder,The Weeknd,1.0,2016.0,11.0,25.0,6518.0,17.0,684675814.0,45.0,85.0,238.0,1.0,47.0,160.0,G#,Major,71.0,40.0,50.0,16.0,0.0,16.0,22.0
68,Car's Outside,James Arthur,1.0,2019.0,10.0,18.0,794.0,10.0,265882712.0,38.0,25.0,61.0,0.0,263.0,150.0,A,Major,34.0,24.0,56.0,4.0,0.0,11.0,3.0
69,Apocalypse,Cigarettes After Sex,1.0,2017.0,3.0,21.0,13091.0,17.0,841749534.0,61.0,96.0,790.0,2.0,116.0,94.0,F,Major,37.0,17.0,47.0,2.0,46.0,11.0,3.0
70,Cheques,Shubh,1.0,2023.0,5.0,19.0,67.0,8.0,47956378.0,7.0,10.0,0.0,0.0,57.0,90.0,E,Minor,74.0,36.0,63.0,26.0,0.0,27.0,5.0
71,Pink + White,Frank Ocean,1.0,2016.0,8.0,20.0,21574.0,30.0,806397070.0,112.0,68.0,266.0,1.0,39.0,160.0,A,Major,54.0,54.0,55.0,67.0,0.0,42.0,11.0
72,You Belong With Me (TaylorÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½s Ve,Taylor Swift,1.0,2021.0,4.0,9.0,2619.0,12.0,350381515.0,47.0,90.0,1.0,0.0,7.0,130.0,F#,Major,63.0,49.0,73.0,5.0,0.0,9.0,3.0
73,Titi Me PreguntÃ¯Â¿,Bad Bunny,1.0,2022.0,5.0,6.0,9037.0,42.0,1264310836.0,124.0,133.0,139.0,14.0,166.0,107.0,F,Minor,65.0,19.0,72.0,10.0,0.0,13.0,25.0
74,Better Than Revenge (Taylor's Version),Taylor Swift,1.0,2023.0,7.0,7.0,86.0,11.0,30343206.0,3.0,33.0,3.0,0.0,1.0,146.0,B,Minor,50.0,67.0,89.0,0.0,0.0,19.0,8.0
75,Shut up My Moms Calling,Hotel Ugly,1.0,2020.0,2.0,10.0,1788.0,14.0,405136812.0,1.0,50.0,19.0,0.0,19.0,139.0,A,Minor,48.0,37.0,41.0,32.0,0.0,10.0,10.0
76,Es un Secreto,Plan B,1.0,2010.0,7.0,20.0,492.0,36.0,540654286.0,4.0,3.0,19.0,0.0,0.0,95.0,F#,Minor,84.0,52.0,77.0,12.0,0.0,7.0,4.0
77,Ditto,NewJeans,1.0,2022.0,12.0,19.0,1154.0,22.0,397582059.0,28.0,125.0,11.0,1.0,51.0,134.0,F#,Minor,81.0,18.0,64.0,3.0,0.0,10.0,11.0
78,AcrÃ¯Â¿Â½Ã¯Â¿Â½s,Shakira,1.0,2023.0,5.0,11.0,955.0,29.0,123124076.0,37.0,50.0,79.0,11.0,31.0,144.0,B,Major,75.0,35.0,48.0,84.0,0.0,10.0,12.0
79,S-Class,Stray Kids,1.0,2023.0,6.0,2.0,290.0,19.0,65496046.0,9.0,101.0,5.0,0.0,73.0,105.0,F,Minor,89.0,67.0,78.0,9.0,0.0,7.0,33.0
80,Hits Different,Taylor Swift,1.0,2023.0,5.0,26.0,547.0,0.0,68616963.0,15.0,15.0,6.0,0.0,0.0,106.0,F,Major,67.0,24.0,78.0,15.0,0.0,30.0,4.0
81,FLOWER,JISOO,1.0,2023.0,3.0,31.0,839.0,18.0,232896922.0,20.0,110.0,20.0,0.0,69.0,124.0,A,Minor,84.0,64.0,39.0,3.0,0.0,11.0,4.0
82,Eyes Closed,Ed Sheeran,1.0,2023.0,3.0,23.0,2915.0,30.0,195576623.0,116.0,69.0,107.0,3.0,675.0,107.0,D,Major,78.0,39.0,53.0,30.0,0.0,11.0,6.0
83,CHORRITO PA LAS ANIMAS,Feid,1.0,2022.0,12.0,2.0,2321.0,36.0,345031710.0,29.0,65.0,34.0,5.0,3.0,96.0,G#,Minor,74.0,61.0,83.0,11.0,0.0,35.0,6.0
84,Players,Coi Leray,1.0,2022.0,11.0,30.0,4096.0,6.0,335074782.0,118.0,48.0,143.0,0.0,240.0,105.0,F#,Major,95.0,62.0,52.0,3.0,0.0,5.0,16.0
85,Bite Me,ENHYPEN,1.0,2023.0,5.0,22.0,349.0,69.0,76767396.0,8.0,96.0,5.0,0.0,56.0,105.0,C#,Major,80.0,69.0,78.0,28.0,0.0,11.0,14.0
86,Normal,Feid,1.0,2022.0,7.0,8.0,2461.0,36.0,459276435.0,47.0,66.0,45.0,5.0,6.0,170.0,E,Minor,71.0,59.0,56.0,4.0,0.0,27.0,12.0
87,Bad Habit,Steve Lacy,1.0,2022.0,6.0,29.0,8186.0,12.0,822633917.0,155.0,72.0,131.0,16.0,29.0,169.0,C#,Major,69.0,69.0,51.0,63.0,0.0,38.0,4.0
88,CUFF IT,BeyoncÃ¯Â¿,1.0,2022.0,7.0,29.0,7842.0,10.0,595900742.0,215.0,88.0,330.0,26.0,23.0,115.0,G,Major,78.0,64.0,69.0,4.0,0.0,7.0,14.0
89,Search & Rescue,Drake,1.0,2023.0,4.0,7.0,2066.0,6.0,175097833.0,58.0,70.0,43.0,0.0,182.0,142.0,A#,Minor,82.0,54.0,44.0,6.0,0.0,33.0,7.0
90,Lavender Haze,Taylor Swift,1.0,2022.0,10.0,21.0,3763.0,8.0,488386797.0,51.0,43.0,38.0,10.0,1.0,97.0,A#,Major,73.0,10.0,44.0,26.0,0.0,16.0,8.0
91,Efecto,Bad Bunny,1.0,2022.0,5.0,6.0,4004.0,33.0,1047480053.0,34.0,65.0,43.0,6.0,2.0,98.0,G,Minor,80.0,23.0,48.0,14.0,0.0,6.0,5.0
92,Erro Gostoso - Ao Vivo,Simone Mendes,1.0,2023.0,1.0,27.0,984.0,5.0,153454328.0,8.0,57.0,76.0,2.0,49.0,154.0,F#,Major,59.0,63.0,89.0,18.0,0.0,80.0,9.0
93,Cupido,Tini,1.0,2023.0,2.0,14.0,1240.0,24.0,217672943.0,51.0,29.0,63.0,4.0,54.0,120.0,A,Major,91.0,63.0,58.0,52.0,0.0,31.0,22.0
94,Just Wanna Rock,Lil Uzi Vert,1.0,2022.0,10.0,17.0,3995.0,13.0,457184829.0,72.0,27.0,47.0,0.0,0.0,150.0,B,Major,49.0,4.0,55.0,7.0,0.0,6.0,3.0
95,Until I Found You,Stephen Sanchez,1.0,2021.0,9.0,1.0,4427.0,4.0,726434358.0,69.0,100.0,154.0,20.0,438.0,202.0,A#,Major,34.0,25.0,51.0,69.0,0.0,18.0,4.0
96,Easy On Me,Adele,1.0,2021.0,10.0,14.0,10195.0,20.0,1406111294.0,258.0,87.0,657.0,22.0,9.0,142.0,F,Major,60.0,13.0,37.0,58.0,0.0,13.0,3.0
97,Oi Balde - Ao Vivo,ZÃ¯Â¿Â½Ã¯Â¿Â½ Neto & Crist,1.0,2023.0,2.0,14.0,845.0,2.0,145458418.0,12.0,57.0,47.0,1.0,33.0,108.0,D,Major,67.0,55.0,67.0,60.0,0.0,80.0,5.0
98,The Color Violet,Tory Lanez,1.0,2021.0,12.0,10.0,2585.0,32.0,415932686.0,3.0,79.0,21.0,1.0,54.0,105.0,F#,Minor,65.0,46.0,53.0,16.0,0.0,9.0,5.0
99,Glimpse of Us,Joji,1.0,2022.0,6.0,10.0,6330.0,6.0,988515741.0,109.0,42.0,158.0,3.0,31.0,170.0,G#,Major,44.0,27.0,32.0,89.0,0.0,14.0,5.0
100,Curtains,Ed Sheeran,1.0,2023.0,5.0,5.0,715.0,0.0,39893489.0,37.0,3.0,27.0,0.0,50.0,176.0,F#,Minor,50.0,44.0,76.0,10.0,0.0,32.0,5.0
101,Haegeum,Agust D,1.0,2023.0,4.0,21.0,244.0,12.0,118810253.0,6.0,84.0,10.0,2.0,9.0,85.0,G,Major,70.0,83.0,84.0,31.0,0.0,47.0,30.0
102,Never Felt So Alone,Labrinth,1.0,2023.0,4.0,7.0,1730.0,3.0,117747907.0,46.0,5.0,51.0,0.0,20.0,98.0,F,Major,44.0,36.0,41.0,50.0,0.0,38.0,5.0
103,ceilings,Lizzy McAlpine,1.0,2022.0,4.0,8.0,3242.0,9.0,293186992.0,67.0,55.0,48.0,0.0,6.0,148.0,A,Major,51.0,27.0,33.0,48.0,0.0,22.0,3.0
104,Cupid,Fifty Fifty,1.0,2023.0,2.0,24.0,526.0,10.0,139681964.0,15.0,93.0,30.0,0.0,320.0,120.0,D,Major,77.0,94.0,66.0,65.0,0.0,38.0,3.0
105,I AM,IVE,1.0,2023.0,4.0,10.0,366.0,15.0,123132751.0,16.0,102.0,7.0,0.0,55.0,122.0,E,Minor,68.0,38.0,88.0,1.0,0.0,8.0,5.0
106,Cupid Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ Twin Ver. (FIFTY FIFTY) Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ Spe,sped up 8282,1.0,1997.0,1.0,1.0,472.0,2.0,103762518.0,0.0,0.0,6.0,0.0,0.0,144.0,F,Major,74.0,75.0,73.0,42.0,0.0,9.0,4.0
107,Super,SEVENTEEN,1.0,2023.0,4.0,24.0,271.0,12.0,91221625.0,16.0,103.0,9.0,0.0,55.0,137.0,G#,Major,77.0,35.0,88.0,16.0,0.0,17.0,9.0
108,Slut Me Out,NLE Choppa,1.0,2022.0,4.0,22.0,816.0,4.0,190490915.0,21.0,4.0,13.0,0.0,4.0,121.0,F#,Minor,94.0,71.0,61.0,12.0,0.0,53.0,42.0
109,All Of The Girls You Loved Before,Taylor Swift,1.0,2019.0,8.0,23.0,1282.0,6.0,185240616.0,26.0,6.0,19.0,0.0,5.0,96.0,D,Major,72.0,40.0,47.0,71.0,0.0,13.0,4.0
110,PROVENZA,Karol G,1.0,2022.0,4.0,21.0,6587.0,34.0,885093467.0,114.0,104.0,147.0,11.0,20.0,111.0,C#,Major,87.0,53.0,52.0,66.0,1.0,11.0,5.0
111,Komang,Raim Laode,1.0,2022.0,8.0,16.0,158.0,4.0,137123880.0,5.0,6.0,1.0,1.0,18.0,134.0,G,Major,70.0,35.0,41.0,41.0,0.0,10.0,3.0
112,DESPECHÃ¯Â¿,ROSALÃ¯Â¿Â½,1.0,2022.0,7.0,28.0,7613.0,33.0,782369383.0,180.0,90.0,422.0,15.0,55.0,130.0,G,Major,92.0,78.0,62.0,18.0,0.0,6.0,10.0
113,Made You Look,Meghan Trainor,1.0,2022.0,10.0,21.0,3956.0,6.0,502574952.0,142.0,23.0,127.0,3.0,16.0,145.0,A#,Major,84.0,88.0,53.0,35.0,0.0,8.0,7.0
114,Punto G,Quevedo,1.0,2022.0,11.0,4.0,1985.0,35.0,381161027.0,34.0,26.0,37.0,5.0,1.0,92.0,B,Minor,75.0,55.0,76.0,25.0,0.0,10.0,15.0
115,Lovers Rock,TV Girl,1.0,2014.0,6.0,5.0,6339.0,13.0,466231982.0,3.0,1.0,36.0,1.0,37.0,105.0,F,Minor,56.0,57.0,87.0,0.0,1.0,10.0,4.0
116,METAMORPHOSIS,INTERWORLD,1.0,2021.0,11.0,25.0,1561.0,24.0,357580552.0,18.0,78.0,24.0,0.0,30.0,175.0,G,Minor,59.0,15.0,64.0,43.0,90.0,12.0,10.0
117,Call Out My Name,The Weeknd,1.0,2018.0,3.0,29.0,11087.0,6.0,1449799467.0,151.0,107.0,801.0,1.0,105.0,134.0,C#,Major,45.0,17.0,60.0,21.0,0.0,33.0,4.0
118,Like Crazy (English Version),Jimin,1.0,2023.0,3.0,24.0,373.0,19.0,173627354.0,4.0,72.0,5.0,0.0,5.0,120.0,G,Major,62.0,32.0,76.0,0.0,0.0,39.0,4.0
119,REMIX EXCLUSIVO,Feid,1.0,2023.0,3.0,17.0,1235.0,9.0,117206995.0,20.0,8.0,15.0,0.0,6.0,87.0,F,Minor,65.0,71.0,56.0,4.0,0.0,15.0,20.0
120,HAPPY,NF,1.0,2023.0,3.0,25.0,660.0,0.0,52722996.0,22.0,7.0,11.0,0.0,78.0,106.0,G,Major,73.0,22.0,86.0,31.0,0.0,12.0,4.0
121,La Bebe,Yng Lvcas,1.0,2021.0,12.0,24.0,489.0,17.0,191945597.0,4.0,11.0,5.0,1.0,2.0,170.0,D,Minor,78.0,75.0,46.0,62.0,0.0,12.0,35.0
122,Late Night Talking,Harry Styles,1.0,2022.0,5.0,20.0,7461.0,8.0,743693613.0,166.0,42.0,199.0,16.0,58.0,115.0,A#,Major,71.0,90.0,73.0,30.0,0.0,11.0,5.0
